fecha,partido,apuesta,cuota,p_modelo,edge,importe,gano,banca
2014-07-12,Brazil - Netherlands,LOCAL,2.15,0.5248,0.1283,1.85,False,64.54
2014-07-13,Germany - Argentina,LOCAL,2.35,0.4399,0.0337,0.4,True,65.08
2018-06-14,Russia - Saudi Arabia,EMPATE,4.32,0.302,0.3048,1.49,False,63.59
2018-06-14,Russia - Saudi Arabia,VISITANTE,8.92,0.4702,3.194,3.18,False,60.41
2018-06-15,Egypt - Uruguay,LOCAL,8.35,0.1254,0.0472,0.1,False,60.31
2018-06-15,Morocco - Iran,VISITANTE,4.11,0.2853,0.1727,0.84,True,62.92
2018-06-15,Portugal - Spain,LOCAL,4.3,0.3029,0.3027,1.44,False,61.47
2018-06-16,France - Australia,EMPATE,6.99,0.2681,0.8737,2.24,False,59.23
2018-06-16,France - Australia,VISITANTE,10.6,0.1644,0.7424,1.15,False,58.09
2018-06-16,Argentina - Iceland,EMPATE,5.31,0.2331,0.2378,0.8,True,61.54
2018-06-16,Argentina - Iceland,VISITANTE,11.04,0.1285,0.4187,0.64,False,60.9
2018-06-16,Peru - Denmark,LOCAL,3.68,0.511,0.8804,3.04,False,57.85
2018-06-16,Croatia - Nigeria,VISITANTE,5.99,0.1743,0.044,0.13,False,57.73
2018-06-17,Costa Rica - Serbia,LOCAL,5.29,0.2404,0.2716,0.91,False,56.81
2018-06-17,Germany - Mexico,EMPATE,4.56,0.2762,0.2594,1.03,False,55.78
2018-06-17,Germany - Mexico,VISITANTE,7.31,0.1766,0.2909,0.64,True,59.84
2018-06-17,Brazil - Switzerland,EMPATE,4.38,0.2766,0.2116,0.94,True,63.0
2018-06-17,Brazil - Switzerland,VISITANTE,8.2,0.1877,0.5393,1.18,False,61.82
2018-06-18,Sweden - South Korea,LOCAL,2.27,0.4632,0.0515,0.63,True,62.62
2018-06-18,Belgium - Panama,EMPATE,6.83,0.1763,0.2043,0.55,False,62.07
2018-06-18,Belgium - Panama,VISITANTE,17.92,0.0846,0.5162,0.47,False,61.59
2018-06-18,Tunisia - England,LOCAL,8.47,0.2041,0.729,1.5,False,60.09
2018-06-18,Tunisia - England,EMPATE,4.21,0.2817,0.186,0.87,False,59.22
2018-06-19,Russia - Egypt,EMPATE,3.51,0.302,0.0601,0.35,False,58.87
2018-06-19,Russia - Egypt,VISITANTE,4.29,0.3184,0.3658,1.64,False,57.23
2018-06-19,Poland - Senegal,VISITANTE,3.32,0.3744,0.2429,1.5,True,60.7
2018-06-20,Iran - Spain,LOCAL,19.05,0.2236,3.2587,2.74,False,57.96
2018-06-20,Iran - Spain,EMPATE,6.78,0.2771,0.8788,2.2,False,55.76
2018-06-20,Uruguay - Saudi Arabia,EMPATE,6.62,0.282,0.8669,2.15,False,53.61
2018-06-20,Uruguay - Saudi Arabia,VISITANTE,17.46,0.1837,2.2072,1.8,False,51.81
