mundial,familia,rmse,logloss,rmse_ci_low,rmse_ci_high
2010,glm,1.221444653992136,1.0488182465581188,1.0297512995198137,1.4164657213375598
2010,lightgbm,1.0957131061611043,0.9890429639148364,0.9179670774240103,1.2824754789977046
2010,xgboost,1.125422849661036,0.9812569416757345,0.9442524576157465,1.3190157240610156
2014,glm,1.2709301114259288,1.0182810537158018,1.0750952469447446,1.475503694570297
2014,lightgbm,1.2412251422285028,0.9941634866847799,1.0344773502142524,1.4574122679640251
2014,xgboost,1.2279510482261178,0.9832033372764553,1.0218447579194585,1.4399799768075603
2018,glm,1.1977594007131243,1.0397443609944528,1.0045181914822345,1.4001988207691152
2018,lightgbm,1.1909219636610422,1.0663304884685916,0.9742281637683204,1.4157121212639676
2018,xgboost,1.1875849052585155,1.0492541645296203,0.9681832459144989,1.4115495271395422
2022,glm,1.3346849674577919,1.1226845222032316,1.087611975992822,1.5935707156398458
2022,lightgbm,1.2729850623892562,1.0756720895485894,1.028855200968489,1.5591424328439158
2022,xgboost,1.2753317960019839,1.0882021972949698,1.0295225250553595,1.554671871128299
2026,glm,1.2716427957314562,0.895992811174283,1.0932857959194588,1.4489454658252716
2026,lightgbm,1.3115021058968528,0.9139076498758167,1.1184611078357094,1.4897185552306607
2026,xgboost,1.2984087175745291,0.9057574981768792,1.108520222722159,1.476893643254722
