fecha,equipo_local,equipo_visitante,lambda_local,lambda_visitante,marcador_previsto,prob_local,prob_empate,prob_visitante,avanza_previsto,metodo_desempate,prob_clasifica_local,prob_decide_prorroga,prob_decide_penaltis
2026-07-09,France,Morocco,1.706707,0.73970366,1-0,0.5679846014238263,0.2605818724545679,0.17143352612160584,France,"P(clasifica France)=0.733 [90'=0.600, prorroga/penaltis via empate=0.246]",0.7325545843158384,0.08213494073076726,0.1634104725151737
2026-07-10,Spain,Belgium,1.9240153,0.7961083,1-0,0.6309188956951414,0.22054720598435204,0.14853389832050667,Spain,"P(clasifica Spain)=0.754 [90'=0.635, prorroga/penaltis via empate=0.222]",0.7542532872924339,0.07417689239526375,0.147577643913447
2026-07-11,Norway,England,0.86923045,1.5147336,0-1,0.20952006614013063,0.27258706804016414,0.5178928658197051,England,"P(clasifica Norway)=0.341 [90'=0.210, prorroga/penaltis via empate=0.271]",0.34118814864242947,0.09058106186137538,0.18021433981687685
2026-07-11,Argentina,Switzerland,1.8389456,0.6888915,1-0,0.6506281228487235,0.22529492732028933,0.12407694983098709,Argentina,"P(clasifica Argentina)=0.765 [90'=0.644, prorroga/penaltis via empate=0.227]",0.7649242091657286,0.0759348141723446,0.1510750936672506
