fecha,equipo_local,equipo_visitante,lambda_local,lambda_visitante,marcador_previsto,prob_local,prob_empate,prob_visitante,resultado_1x2_previsto,marcador_real,resultado_1x2_real
2026-06-20,Germany,Ivory Coast,2.0269134,0.8309172,2-0,0.6479204432746469,0.21192968115060953,0.1401498755747435,LOCAL,2-1,LOCAL
2026-06-21,Belgium,Iran,1.8152205,0.89060766,1-0,0.5870234225841675,0.2368975754009705,0.17607900201486196,LOCAL,0-0,EMPATE
2026-06-21,Uruguay,Cape Verde,1.7131789,0.8367181,1-0,0.5767764007745532,0.24721186752723515,0.17601173169821172,LOCAL,2-2,EMPATE
2026-06-21,New Zealand,Egypt,0.9141655,1.7273808,0-1,0.1925160653103895,0.24692219377932806,0.5605617409102824,VISITANTE,1-3,VISITANTE
2026-06-21,Spain,Saudi Arabia,2.2091107,0.51630664,2-0,0.7602006807254128,0.17118813808186806,0.06861118119271917,LOCAL,4-0,LOCAL
2026-06-22,Norway,Senegal,1.3853909,1.0247476,1-1,0.4459002458254912,0.28182544175152,0.2722743124229887,LOCAL,3-2,LOCAL
2026-06-22,Jordan,Algeria,0.78251857,1.9436588,0-2,0.13844251794981155,0.21891488920705013,0.6426425928431383,VISITANTE,1-2,VISITANTE
2026-06-22,Argentina,Austria,1.8075113,0.7261644,1-0,0.6274137138536416,0.2325154110740603,0.14007087507229812,LOCAL,2-0,LOCAL
2026-06-22,France,Iraq,2.4805348,0.8336884,2-0,0.7304680097536083,0.16740207380708327,0.10212991643930851,LOCAL,3-0,LOCAL
2026-06-23,Portugal,Uzbekistan,2.0766575,0.87931985,2-0,0.6462270262390202,0.20883799224501312,0.14493498151596662,LOCAL,5-0,LOCAL
2026-06-23,Colombia,DR Congo,2.2124627,0.8324151,2-0,0.6839507068754762,0.19281325242666247,0.12323604069786127,LOCAL,1-0,LOCAL
2026-06-23,Panama,Croatia,0.9816983,1.3633757,1-1,0.26434884792073243,0.285527661441225,0.4501234906380426,VISITANTE,0-1,VISITANTE
2026-06-23,England,Ghana,2.579948,0.7385878,2-0,0.7667992656151323,0.15213780400550247,0.08106293037936527,LOCAL,0-0,EMPATE
