wc,variante,acc,logloss,exacto,rmse
2014,baseline,0.5833333333333334,0.9817133511283859,0.1875,1.247202171397303
2014,con_valor,0.625,0.9708197460109375,0.125,1.241661978985585
2018,baseline,0.5102040816326531,1.0153198405277202,0.10204081632653061,1.1615830717640778
2018,con_valor,0.4897959183673469,1.0005185081722519,0.12244897959183673,1.1134872018891409
2022,baseline,0.4897959183673469,1.0838575324895443,0.12244897959183673,1.2696871109662131
2022,con_valor,0.4897959183673469,1.0745196032032984,0.10204081632653061,1.2432727560739523
2026,baseline,0.6111111111111112,0.8999398427232056,0.125,1.2956101608724886
2026,con_valor,0.6111111111111112,0.8700900444411709,0.16666666666666666,1.2652263281938556
