mundial,umbral,n_empates_reales,acc_argmax,recall_X_argmax,acc_regla,recall_X_regla,precision_X_regla
2010,0.2900000000000001,14,0.5,0.0,0.5208333333333334,0.21428571428571427,0.375
2014,0.2900000000000001,9,0.5833333333333334,0.0,0.4791666666666667,0.3333333333333333,0.23076923076923078
2018,0.2900000000000001,9,0.46938775510204084,0.0,0.3877551020408163,0.1111111111111111,0.07692307692307693
2022,0.3000000000000001,10,0.4897959183673469,0.0,0.4897959183673469,0.4,0.3076923076923077
2026,0.2950000000000001,20,0.6111111111111112,0.0,0.5694444444444444,0.1,0.25
