fecha,equipo_local,equipo_visitante,prob_local,prob_empate,prob_visitante,cuota_local,cuota_empate,cuota_visitante,resultado_1x2_real
2014-06-26,Algeria,Russia,0.5493535469391368,0.2658512139248069,0.1847952391360562,3.66,3.65,2.0,EMPATE
2014-06-28,Colombia,Uruguay,0.3857255095613431,0.3062551982063255,0.3080192922323314,2.14,3.32,3.63,LOCAL
2014-06-28,Brazil,Chile,0.7986359972753894,0.148521045469649,0.0528429572549615,1.52,4.42,6.26,EMPATE
2014-06-29,Netherlands,Mexico,0.4874551325954828,0.302628295613387,0.2099165717911302,2.13,3.3,3.69,LOCAL
2014-06-29,Costa Rica,Greece,0.3406306919587599,0.2694358783226465,0.3899334297185935,2.66,3.08,2.9,EMPATE
2014-06-30,France,Nigeria,0.5888572749800852,0.2633560222430933,0.1477867027768215,1.41,4.6,8.41,LOCAL
2014-06-30,Germany,Algeria,0.4606121141186599,0.3029940481328295,0.2363938377485107,1.31,5.53,10.15,LOCAL
2014-07-01,Argentina,Switzerland,0.6180637198914734,0.2432644193325686,0.138671860775958,1.56,4.1,6.35,LOCAL
2014-07-01,Belgium,United States,0.4245295931379503,0.3028635511824962,0.2726068556795534,2.0,3.37,4.04,LOCAL
2014-07-04,France,Germany,0.2934528237277843,0.3078725518380359,0.3986746244341796,2.79,3.11,2.77,VISITANTE
2014-07-04,Brazil,Colombia,0.636209677231332,0.2293729192355415,0.1344174035331263,1.76,3.73,4.86,LOCAL
2014-07-05,Argentina,Belgium,0.5931177769199438,0.2613750113324505,0.1455072117476055,1.98,3.33,4.2,LOCAL
2014-07-05,Netherlands,Costa Rica,0.7267729141907324,0.1858951868287442,0.0873318989805233,1.52,4.11,6.99,EMPATE
2014-07-08,Brazil,Germany,0.5179187784205569,0.2850416453369875,0.1970395762424556,2.62,3.14,2.91,VISITANTE
2014-07-09,Netherlands,Argentina,0.4128926359059935,0.303850751221784,0.2832566128722223,3.04,3.19,2.5,EMPATE
2014-07-12,Brazil,Netherlands,0.5248000011624449,0.2765279438249601,0.198672055012595,2.15,3.64,3.29,VISITANTE
2014-07-13,Germany,Argentina,0.439884856563165,0.2939069208316661,0.2662082226051688,2.35,3.23,3.3,LOCAL
2018-06-14,Russia,Saudi Arabia,0.2277801750955289,0.3020386082240797,0.4701812166803913,1.46,4.32,8.92,LOCAL
2018-06-15,Portugal,Spain,0.3029441948615722,0.30278165236373,0.3942741527746977,4.3,3.26,2.03,EMPATE
2018-06-15,Egypt,Uruguay,0.125416848070341,0.2322345330839328,0.6423486188457261,8.35,4.06,1.5,VISITANTE
2018-06-15,Morocco,Iran,0.4334792985641073,0.2811947982515814,0.2853259031843113,2.23,2.95,4.11,VISITANTE
2018-06-16,France,Australia,0.5675639003092178,0.2680580190471843,0.1643780806435979,1.26,6.99,10.6,LOCAL
2018-06-16,Argentina,Iceland,0.6383895309393619,0.2331032047262804,0.1285072643343577,1.33,5.31,11.04,EMPATE
2018-06-16,Peru,Denmark,0.5109702621157236,0.2549320758313937,0.2340976620528827,3.68,3.09,2.31,VISITANTE
2018-06-16,Croatia,Nigeria,0.5546456302295262,0.2710625122599502,0.1742918575105236,1.68,3.76,5.99,LOCAL
2018-06-17,Costa Rica,Serbia,0.2403729242663155,0.2475337537710018,0.5120933219626826,5.29,3.4,1.84,VISITANTE
2018-06-17,Germany,Mexico,0.5472258409877163,0.2761772637880376,0.176596895224246,1.49,4.56,7.31,VISITANTE
2018-06-17,Brazil,Switzerland,0.5356597029433511,0.2766160199618778,0.1877242770947709,1.47,4.38,8.2,EMPATE
