mundial,variante,exacto,top3,logloss,acc_1x2
2010,A_baseline,0.125,0.375,0.9894744528243945,0.5
2010,B_shrink,0.16666666666666666,0.4375,0.9828500195357908,0.5
2010,C_calib,0.16666666666666666,0.4166666666666667,0.9875905560176781,0.5
2010,D_shrink_calib,0.1875,0.4166666666666667,0.9834609292606341,0.5
2014,A_baseline,0.08333333333333333,0.2708333333333333,0.9764427793196638,0.5833333333333334
2014,B_shrink,0.08333333333333333,0.2916666666666667,0.9778883819215881,0.5833333333333334
2014,C_calib,0.0625,0.2916666666666667,0.97577856185138,0.6041666666666666
2014,D_shrink_calib,0.08333333333333333,0.2916666666666667,0.9764512019694384,0.6041666666666666
2018,A_baseline,0.10204081632653061,0.3673469387755102,1.0375952211572672,0.46938775510204084
2018,B_shrink,0.14285714285714285,0.3673469387755102,1.038950479909393,0.46938775510204084
2018,C_calib,0.16326530612244897,0.3469387755102041,1.0363892922791198,0.46938775510204084
2018,D_shrink_calib,0.16326530612244897,0.3673469387755102,1.037046286734075,0.46938775510204084
2022,A_baseline,0.04081632653061224,0.2857142857142857,1.087187022321014,0.4897959183673469
2022,B_shrink,0.061224489795918366,0.3469387755102041,1.0872811565822396,0.4897959183673469
2022,C_calib,0.08163265306122448,0.2857142857142857,1.0819295251692016,0.4897959183673469
2022,D_shrink_calib,0.061224489795918366,0.2653061224489796,1.0816682705291503,0.4897959183673469
2026,A_baseline,0.1527777777777778,0.375,0.9032536379302056,0.6111111111111112
2026,B_shrink,0.1527777777777778,0.375,0.9030817545290092,0.6111111111111112
2026,C_calib,0.1111111111111111,0.2916666666666667,0.9059121273858888,0.6111111111111112
2026,D_shrink_calib,0.1111111111111111,0.2916666666666667,0.9057701043231899,0.6111111111111112
