familia,rmse_medio,rmse_std,logloss_medio,veces_gana
lightgbm,1.2224694760673516,0.08350573558113689,1.007823335698523,2
xgboost,1.2229398633444366,0.0693273314777443,1.0015348277907319,2
glm,1.2592923858640874,0.05289321721390161,1.0251041989291776,1
